label,starting_balance,ending_balance,net_pnl,closed_trades,wins,losses,open_trades,win_rate_pct,profit_factor,max_drawdown_pct,skipped_overlap_signals,candles_processed,decision_rows,events_logged,trades_opened,replay_start,replay_end,slice_kind,slice_name,regime,slice_start,slice_end,expectancy,positive_expectancy,expectancy_values
CHOPPY_2024-12-20_2024-12-24,10000.0,10521.33,521.33,6,4,2,1,66.67,3.66,1.02,49,771,771,63,7,2024-12-20 00:00:00,2024-12-24 18:30:00,regime,CHOPPY_2024-12-20_2024-12-24,CHOPPY,2024-12-20,2024-12-24 23:55:00,86.89,1,-87.50|188.97|163.80|195.98|168.89|-108.80
NEUTRAL_2024-12-25_2024-12-26,10000.0,10001.18,1.18,3,1,2,1,33.33,1.01,0.88,41,288,288,49,4,2024-12-25 23:00:00,2024-12-26 23:55:00,regime,NEUTRAL_2024-12-25_2024-12-26,NEUTRAL,2024-12-25,2024-12-26 23:55:00,0.39,1,-87.50|176.94|-88.26
CHOPPY_2024-12-27_2024-12-27,10000.0,9810.88,-189.12,2,0,2,1,0.0,0.0,1.89,13,261,261,19,3,2024-12-27 00:00:00,2024-12-27 21:40:00,regime,CHOPPY_2024-12-27_2024-12-27,CHOPPY,2024-12-27,2024-12-27 23:55:00,-94.56,0,-87.50|-101.62
ALIGNED_RANGE_2024-12-29_2024-12-29,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2024-12-29 23:05:00,2024-12-29 23:55:00,regime,ALIGNED_RANGE_2024-12-29_2024-12-29,ALIGNED_RANGE,2024-12-29,2024-12-29 23:55:00,0.0,0,
NEUTRAL_2024-12-30_2024-12-31,10000.0,10710.68,710.68,4,4,0,1,100.0,0.0,0.0,25,540,540,35,5,2024-12-30 00:00:00,2024-12-31 21:55:00,regime,NEUTRAL_2024-12-30_2024-12-31,NEUTRAL,2024-12-30,2024-12-31 23:55:00,177.67,1,145.85|195.44|196.92|172.47
CHOPPY_2025-01-01_2025-01-01,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,12,12,0,0,2025-01-01 23:00:00,2025-01-01 23:55:00,regime,CHOPPY_2025-01-01_2025-01-01,CHOPPY,2025-01-01,2025-01-01 23:55:00,0.0,0,
NEUTRAL_2025-01-02_2025-01-02,10000.0,10250.14,250.14,3,2,1,1,66.67,3.4,1.02,18,276,276,26,4,2025-01-02 00:00:00,2025-01-02 23:55:00,regime,NEUTRAL_2025-01-02_2025-01-02,NEUTRAL,2025-01-02,2025-01-02 23:55:00,83.38,1,160.88|-104.11|193.37
CHOPPY_2025-01-03_2025-01-03,10000.0,9825.74,-174.26,2,0,2,1,0.0,0.0,1.74,13,261,261,19,3,2025-01-03 00:00:00,2025-01-03 21:40:00,regime,CHOPPY_2025-01-03_2025-01-03,CHOPPY,2025-01-03,2025-01-03 23:55:00,-87.13,0,-87.50|-86.76
ALIGNED_RANGE_2025-01-05_2025-01-05,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2025-01-05 23:05:00,2025-01-05 23:55:00,regime,ALIGNED_RANGE_2025-01-05_2025-01-05,ALIGNED_RANGE,2025-01-05,2025-01-05 23:55:00,0.0,0,
NEUTRAL_2025-01-06_2025-01-06,10000.0,10000.0,0.0,0,0,0,1,0.0,0.0,0.0,9,276,276,11,1,2025-01-06 00:00:00,2025-01-06 23:55:00,regime,NEUTRAL_2025-01-06_2025-01-06,NEUTRAL,2025-01-06,2025-01-06 23:55:00,0.0,0,
CHOPPY_2025-01-07_2025-01-08,10000.0,10174.09,174.09,4,2,2,1,50.0,1.84,2.04,34,552,552,44,5,2025-01-07 00:00:00,2025-01-08 23:55:00,regime,CHOPPY_2025-01-07_2025-01-08,CHOPPY,2025-01-07,2025-01-08 23:55:00,43.52,1,190.34|-104.40|-103.36|191.51
NEUTRAL_2025-01-09_2025-01-09,10000.0,10069.03,69.03,2,1,1,1,50.0,1.75,0.92,13,276,276,19,3,2025-01-09 00:00:00,2025-01-09 23:55:00,regime,NEUTRAL_2025-01-09_2025-01-09,NEUTRAL,2025-01-09,2025-01-09 23:55:00,34.52,1,-92.50|161.53
CHOPPY_2025-01-10_2025-01-10,10000.0,10081.98,81.98,2,1,1,0,50.0,2.02,0.79,15,261,261,19,2,2025-01-10 00:00:00,2025-01-10 21:40:00,regime,CHOPPY_2025-01-10_2025-01-10,CHOPPY,2025-01-10,2025-01-10 23:55:00,40.99,1,162.22|-80.24
NEUTRAL_2025-01-12_2025-01-12,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2025-01-12 23:05:00,2025-01-12 23:55:00,regime,NEUTRAL_2025-01-12_2025-01-12,NEUTRAL,2025-01-12,2025-01-12 23:55:00,0.0,0,
ALIGNED_RANGE_2025-01-13_2025-01-13,10000.0,10386.05,386.05,2,2,0,0,100.0,0.0,0.0,7,276,276,11,2,2025-01-13 00:00:00,2025-01-13 23:55:00,regime,ALIGNED_RANGE_2025-01-13_2025-01-13,ALIGNED_RANGE,2025-01-13,2025-01-13 23:55:00,193.03,1,191.77|194.28
CHOPPY_2025-01-14_2025-01-17,10000.0,9980.58,-19.42,11,4,7,1,36.36,0.97,2.9,78,1089,1089,102,12,2025-01-14 00:00:00,2025-01-17 21:40:00,regime,CHOPPY_2025-01-14_2025-01-17,CHOPPY,2025-01-14,2025-01-17 23:55:00,-1.76,0,-87.50|-101.62|-100.61|158.00|-101.18|158.66|-101.76|186.96|-102.61|-86.72|158.97
NEUTRAL_2025-01-19_2025-01-19,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2025-01-19 23:05:00,2025-01-19 23:55:00,regime,NEUTRAL_2025-01-19_2025-01-19,NEUTRAL,2025-01-19,2025-01-19 23:55:00,0.0,0,
CHOPPY_2025-01-20_2025-01-24,10000.0,9799.13,-200.87,8,2,6,1,25.0,0.65,3.86,72,1321,1321,90,9,2025-01-20 00:00:00,2025-01-24 21:40:00,regime,CHOPPY_2025-01-20_2025-01-24,CHOPPY,2025-01-20,2025-01-24 23:55:00,-25.11,0,192.67|-104.43|-93.29|-102.45|-91.53|187.06|-87.40|-101.51
NEUTRAL_2025-01-26_2025-01-27,10000.0,9984.33,-15.67,3,1,2,1,33.33,0.91,0.88,8,287,287,16,4,2025-01-26 23:05:00,2025-01-27 23:55:00,regime,NEUTRAL_2025-01-26_2025-01-27,NEUTRAL,2025-01-26,2025-01-27 23:55:00,-5.23,0,-87.50|159.94|-88.12
CHOPPY_2025-01-28_2025-01-31,10000.0,10928.11,928.11,10,7,3,1,70.0,4.28,1.89,80,1089,1089,102,11,2025-01-28 00:00:00,2025-01-31 21:40:00,regime,CHOPPY_2025-01-28_2025-01-31,CHOPPY,2025-01-28,2025-01-31 23:55:00,92.81,1,-87.50|-101.62|153.30|165.70|-93.67|187.43|189.22|193.63|119.85|201.78
VOLATILE_2025-02-02_2025-02-02,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2025-02-02 23:05:00,2025-02-02 23:55:00,regime,VOLATILE_2025-02-02_2025-02-02,VOLATILE,2025-02-02,2025-02-02 23:55:00,0.0,0,
CHOPPY_2025-02-03_2025-02-03,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,276,276,0,0,2025-02-03 00:00:00,2025-02-03 23:55:00,regime,CHOPPY_2025-02-03_2025-02-03,CHOPPY,2025-02-03,2025-02-03 23:55:00,0.0,0,
NEUTRAL_2025-02-04_2025-02-04,10000.0,9810.88,-189.12,2,0,2,1,0.0,0.0,1.89,11,276,276,17,3,2025-02-04 00:00:00,2025-02-04 23:55:00,regime,NEUTRAL_2025-02-04_2025-02-04,NEUTRAL,2025-02-04,2025-02-04 23:55:00,-94.56,0,-87.50|-101.62
CHOPPY_2025-02-05_2025-02-07,10000.0,10669.7,669.7,10,6,4,1,60.0,2.65,1.89,22,813,813,44,11,2025-02-05 00:00:00,2025-02-07 21:40:00,regime,CHOPPY_2025-02-05_2025-02-07,CHOPPY,2025-02-05,2025-02-07 23:55:00,66.97,1,188.81|161.71|192.72|-107.93|194.26|-92.85|167.05|171.18|-94.94|-110.30
NEUTRAL_2025-02-09_2025-02-09,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2025-02-09 23:05:00,2025-02-09 23:55:00,regime,NEUTRAL_2025-02-09_2025-02-09,NEUTRAL,2025-02-09,2025-02-09 23:55:00,0.0,0,
CHOPPY_2025-02-10_2025-02-19,10000.0,10108.56,108.56,13,5,8,1,38.46,1.14,2.86,53,2172,2172,81,14,2025-02-10 00:00:00,2025-02-19 23:55:00,regime,CHOPPY_2025-02-10_2025-02-19,CHOPPY,2025-02-10,2025-02-19 23:55:00,8.35,1,158.24|-104.08|160.36|-80.64|188.51|-105.72|-94.45|-88.54|186.68|-89.37|-103.81|186.01|-104.63
NEUTRAL_2025-02-20_2025-02-20,10000.0,10084.04,84.04,2,1,1,0,50.0,1.81,1.02,4,276,276,8,2,2025-02-20 00:00:00,2025-02-20 23:55:00,regime,NEUTRAL_2025-02-20_2025-02-20,NEUTRAL,2025-02-20,2025-02-20 23:55:00,42.03,1,188.43|-104.38
CHOPPY_2025-02-21_2025-02-21,10000.0,9897.5,-102.5,1,0,1,0,0.0,0.0,1.03,0,261,261,2,1,2025-02-21 00:00:00,2025-02-21 21:40:00,regime,CHOPPY_2025-02-21_2025-02-21,CHOPPY,2025-02-21,2025-02-21 23:55:00,-102.5,0,-102.50
NEUTRAL_2025-02-23_2025-02-23,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2025-02-23 23:05:00,2025-02-23 23:55:00,regime,NEUTRAL_2025-02-23_2025-02-23,NEUTRAL,2025-02-23,2025-02-23 23:55:00,0.0,0,
CHOPPY_2025-02-24_2025-02-24,10000.0,10000.0,0.0,0,0,0,1,0.0,0.0,0.0,2,276,276,4,1,2025-02-24 00:00:00,2025-02-24 23:55:00,regime,CHOPPY_2025-02-24_2025-02-24,CHOPPY,2025-02-24,2025-02-24 23:55:00,0.0,0,
NEUTRAL_2025-02-25_2025-02-28,10000.0,10515.65,515.65,9,5,4,0,55.56,2.31,2.89,17,1089,1089,35,9,2025-02-25 00:00:00,2025-02-28 21:40:00,regime,NEUTRAL_2025-02-25_2025-02-28,NEUTRAL,2025-02-25,2025-02-28 23:55:00,57.29,1,189.13|171.30|-90.56|-105.20|-104.15|159.21|192.17|196.42|-92.67
CHOPPY_2025-03-02_2025-03-06,10000.0,10406.87,406.87,7,4,3,0,57.14,2.45,1.02,20,1115,1115,34,7,2025-03-02 23:05:00,2025-03-06 23:55:00,regime,CHOPPY_2025-03-02_2025-03-06,CHOPPY,2025-03-02,2025-03-06 23:55:00,58.13,1,-87.50|182.62|-103.45|156.77|160.29|-90.12|188.27
NEUTRAL_2025-03-07_2025-03-07,10000.0,9810.88,-189.12,2,0,2,0,0.0,0.0,1.89,5,261,261,9,2,2025-03-07 00:00:00,2025-03-07 21:40:00,regime,NEUTRAL_2025-03-07_2025-03-07,NEUTRAL,2025-03-07,2025-03-07 23:55:00,-94.56,0,-87.50|-101.62
CHOPPY_2025-03-09_2025-03-09,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,23,23,0,0,2025-03-09 22:05:00,2025-03-09 23:55:00,regime,CHOPPY_2025-03-09_2025-03-09,CHOPPY,2025-03-09,2025-03-09 23:55:00,0.0,0,
NEUTRAL_2025-03-10_2025-03-10,10000.0,10098.3,98.3,2,1,1,0,50.0,2.12,0.88,6,276,276,10,2,2025-03-10 00:00:00,2025-03-10 23:55:00,regime,NEUTRAL_2025-03-10_2025-03-10,NEUTRAL,2025-03-10,2025-03-10 23:55:00,49.15,1,-87.50|185.80
CHOPPY_2025-03-11_2025-03-16,10000.0,10087.05,87.05,10,4,6,0,40.0,1.15,3.89,6,1100,1100,26,10,2025-03-11 00:00:00,2025-03-16 23:55:00,regime,CHOPPY_2025-03-11_2025-03-16,CHOPPY,2025-03-11,2025-03-16 23:55:00,8.71,1,-102.50|-86.63|-100.61|-99.60|177.18|162.64|-102.00|153.78|189.21|-104.41
ALIGNED_RANGE_2025-03-17_2025-03-18,10000.0,10053.3,53.3,2,1,1,1,50.0,1.52,1.03,29,552,552,35,3,2025-03-17 00:00:00,2025-03-18 23:55:00,regime,ALIGNED_RANGE_2025-03-17_2025-03-18,ALIGNED_RANGE,2025-03-17,2025-03-18 23:55:00,26.65,1,-102.50|155.80
NEUTRAL_2025-03-19_2025-03-19,10000.0,10185.99,185.99,1,1,0,0,100.0,0.0,0.0,1,276,276,3,1,2025-03-19 00:00:00,2025-03-19 23:55:00,regime,NEUTRAL_2025-03-19_2025-03-19,NEUTRAL,2025-03-19,2025-03-19 23:55:00,185.99,1,185.99
CHOPPY_2025-03-20_2025-03-20,10000.0,10038.61,38.61,2,1,1,1,50.0,1.37,1.02,10,276,276,16,3,2025-03-20 00:00:00,2025-03-20 23:55:00,regime,CHOPPY_2025-03-20_2025-03-20,CHOPPY,2025-03-20,2025-03-20 23:55:00,19.3,1,142.54|-103.93
NEUTRAL_2025-03-21_2025-03-21,10000.0,9796.02,-203.98,2,0,2,0,0.0,0.0,2.04,8,249,249,12,2,2025-03-21 00:00:00,2025-03-21 20:40:00,regime,NEUTRAL_2025-03-21_2025-03-21,NEUTRAL,2025-03-21,2025-03-21 23:55:00,-101.99,0,-102.50|-101.48
ALIGNED_RANGE_2025-03-23_2025-03-23,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,23,23,0,0,2025-03-23 22:05:00,2025-03-23 23:55:00,regime,ALIGNED_RANGE_2025-03-23_2025-03-23,ALIGNED_RANGE,2025-03-23,2025-03-23 23:55:00,0.0,0,
CHOPPY_2025-03-24_2025-04-02,10000.0,10410.05,410.05,13,6,7,0,46.15,1.65,2.57,42,2204,2204,68,13,2025-03-24 00:00:00,2025-04-02 23:55:00,regime,CHOPPY_2025-03-24_2025-04-02,CHOPPY,2025-03-24,2025-04-02 23:55:00,31.54,1,157.28|160.56|-90.20|-104.78|-63.24|187.16|-89.60|-104.07|187.39|-89.54|188.56|162.29|-91.77
NEUTRAL_2025-04-03_2025-04-03,10000.0,10156.64,156.64,1,1,0,0,100.0,0.0,0.0,1,276,276,3,1,2025-04-03 00:00:00,2025-04-03 23:55:00,regime,NEUTRAL_2025-04-03_2025-04-03,NEUTRAL,2025-04-03,2025-04-03 23:55:00,156.64,1,156.64
CHOPPY_2025-04-04_2025-04-07,10000.0,10000.0,0.0,0,0,0,1,0.0,0.0,0.0,1,548,548,3,1,2025-04-04 00:00:00,2025-04-07 23:55:00,regime,CHOPPY_2025-04-04_2025-04-07,CHOPPY,2025-04-04,2025-04-07 23:55:00,0.0,0,
NEUTRAL_2025-04-08_2025-04-08,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,276,276,0,0,2025-04-08 00:00:00,2025-04-08 23:55:00,regime,NEUTRAL_2025-04-08_2025-04-08,NEUTRAL,2025-04-08,2025-04-08 23:55:00,0.0,0,
CHOPPY_2025-04-09_2025-04-10,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,552,552,0,0,2025-04-09 00:00:00,2025-04-10 23:55:00,regime,CHOPPY_2025-04-09_2025-04-10,CHOPPY,2025-04-09,2025-04-10 23:55:00,0.0,0,
ALIGNED_RANGE_2025-04-11_2025-04-11,10000.0,10156.06,156.06,1,1,0,0,100.0,0.0,0.0,0,249,249,2,1,2025-04-11 00:00:00,2025-04-11 20:40:00,regime,ALIGNED_RANGE_2025-04-11_2025-04-11,ALIGNED_RANGE,2025-04-11,2025-04-11 23:55:00,156.06,1,156.06
CHOPPY_2025-04-13_2025-04-13,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,23,23,0,0,2025-04-13 22:05:00,2025-04-13 23:55:00,regime,CHOPPY_2025-04-13_2025-04-13,CHOPPY,2025-04-13,2025-04-13 23:55:00,0.0,0,
NEUTRAL_2025-04-14_2025-04-14,10000.0,10000.0,0.0,0,0,0,1,0.0,0.0,0.0,0,276,276,2,1,2025-04-14 00:00:00,2025-04-14 23:55:00,regime,NEUTRAL_2025-04-14_2025-04-14,NEUTRAL,2025-04-14,2025-04-14 23:55:00,0.0,0,
ALIGNED_RANGE_2025-04-15_2025-04-15,10000.0,10328.96,328.96,2,2,0,0,100.0,0.0,0.0,3,276,276,7,2,2025-04-15 00:00:00,2025-04-15 23:55:00,regime,ALIGNED_RANGE_2025-04-15_2025-04-15,ALIGNED_RANGE,2025-04-15,2025-04-15 23:55:00,164.49,1,167.78|161.19
CHOPPY_2025-04-16_2025-04-17,10000.0,9912.5,-87.5,1,0,1,0,0.0,0.0,0.88,0,528,528,2,1,2025-04-16 00:00:00,2025-04-17 20:55:00,regime,CHOPPY_2025-04-16_2025-04-17,CHOPPY,2025-04-16,2025-04-17 23:55:00,-87.5,0,-87.50
NEUTRAL_2025-04-20_2025-04-21,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,299,299,0,0,2025-04-20 22:05:00,2025-04-21 23:55:00,regime,NEUTRAL_2025-04-20_2025-04-21,NEUTRAL,2025-04-20,2025-04-21 23:55:00,0.0,0,
CHOPPY_2025-04-22_2025-04-24,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,827,827,0,0,2025-04-22 00:00:00,2025-04-24 23:55:00,regime,CHOPPY_2025-04-22_2025-04-24,CHOPPY,2025-04-22,2025-04-24 23:55:00,0.0,0,
NEUTRAL_2025-04-25_2025-04-25,10000.0,10159.68,159.68,1,1,0,0,100.0,0.0,0.0,0,249,249,2,1,2025-04-25 00:00:00,2025-04-25 20:40:00,regime,NEUTRAL_2025-04-25_2025-04-25,NEUTRAL,2025-04-25,2025-04-25 23:55:00,159.68,1,159.68
CHOPPY_2025-04-27_2025-04-29,10000.0,10185.75,185.75,1,1,0,0,100.0,0.0,0.0,0,575,575,2,1,2025-04-27 22:05:00,2025-04-29 23:55:00,regime,CHOPPY_2025-04-27_2025-04-29,CHOPPY,2025-04-27,2025-04-29 23:55:00,185.75,1,185.75
NEUTRAL_2025-04-30_2025-04-30,10000.0,10187.91,187.91,1,1,0,0,100.0,0.0,0.0,0,276,276,2,1,2025-04-30 00:00:00,2025-04-30 23:55:00,regime,NEUTRAL_2025-04-30_2025-04-30,NEUTRAL,2025-04-30,2025-04-30 23:55:00,187.91,1,187.91
CHOPPY_2025-05-01_2025-05-01,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,276,276,0,0,2025-05-01 00:00:00,2025-05-01 23:55:00,regime,CHOPPY_2025-05-01_2025-05-01,CHOPPY,2025-05-01,2025-05-01 23:55:00,0.0,0,
ALIGNED_RANGE_2025-05-02_2025-05-04,10000.0,10317.4,317.4,2,2,0,0,100.0,0.0,0.0,1,272,272,5,2,2025-05-02 00:00:00,2025-05-04 23:55:00,regime,ALIGNED_RANGE_2025-05-02_2025-05-04,ALIGNED_RANGE,2025-05-02,2025-05-04 23:55:00,158.7,1,157.58|159.82
CHOPPY_2025-05-05_2025-05-07,10000.0,10068.02,68.02,2,1,1,0,50.0,1.77,0.87,0,828,828,4,2,2025-05-05 00:00:00,2025-05-07 23:55:00,regime,CHOPPY_2025-05-05_2025-05-07,CHOPPY,2025-05-05,2025-05-07 23:55:00,34.01,1,156.85|-88.83
NEUTRAL_2025-05-08_2025-05-08,10000.0,9912.5,-87.5,1,0,1,0,0.0,0.0,0.88,0,276,276,2,1,2025-05-08 00:00:00,2025-05-08 23:55:00,regime,NEUTRAL_2025-05-08_2025-05-08,NEUTRAL,2025-05-08,2025-05-08 23:55:00,-87.5,0,-87.50
CHOPPY_2025-05-09_2025-05-09,10000.0,10084.51,84.51,2,1,1,0,50.0,1.81,1.02,0,249,249,4,2,2025-05-09 00:00:00,2025-05-09 20:40:00,regime,CHOPPY_2025-05-09_2025-05-09,CHOPPY,2025-05-09,2025-05-09 23:55:00,42.26,1,188.90|-104.39
NEUTRAL_2025-05-11_2025-05-12,10000.0,10181.63,181.63,1,1,0,1,100.0,0.0,0.0,1,299,299,5,2,2025-05-11 22:05:00,2025-05-12 23:55:00,regime,NEUTRAL_2025-05-11_2025-05-12,NEUTRAL,2025-05-11,2025-05-12 23:55:00,181.63,1,181.63
CHOPPY_2025-05-13_2025-05-14,10000.0,10133.09,133.09,4,2,2,0,50.0,1.74,1.74,2,552,552,10,4,2025-05-13 00:00:00,2025-05-14 23:55:00,regime,CHOPPY_2025-05-13_2025-05-14,CHOPPY,2025-05-13,2025-05-14 23:55:00,33.27,1,153.98|158.66|-90.16|-89.39
ALIGNED_RANGE_2025-05-15_2025-05-15,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,276,276,0,0,2025-05-15 00:00:00,2025-05-15 23:55:00,regime,ALIGNED_RANGE_2025-05-15_2025-05-15,ALIGNED_RANGE,2025-05-15,2025-05-15 23:55:00,0.0,0,
CHOPPY_2025-05-16_2025-05-18,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,272,272,0,0,2025-05-16 00:00:00,2025-05-18 23:55:00,regime,CHOPPY_2025-05-16_2025-05-18,CHOPPY,2025-05-16,2025-05-18 23:55:00,0.0,0,
ALIGNED_RANGE_2025-05-19_2025-05-19,10000.0,9912.5,-87.5,1,0,1,0,0.0,0.0,0.88,1,276,276,3,1,2025-05-19 00:00:00,2025-05-19 23:55:00,regime,ALIGNED_RANGE_2025-05-19_2025-05-19,ALIGNED_RANGE,2025-05-19,2025-05-19 23:55:00,-87.5,0,-87.50
CHOPPY_2025-05-20_2025-05-20,10000.0,10312.0,312.0,2,2,0,0,100.0,0.0,0.0,0,276,276,4,2,2025-05-20 00:00:00,2025-05-20 23:55:00,regime,CHOPPY_2025-05-20_2025-05-20,CHOPPY,2025-05-20,2025-05-20 23:55:00,156.0,1,159.06|152.93
ALIGNED_RANGE_2025-05-21_2025-05-21,10000.0,10343.61,343.61,2,2,0,0,100.0,0.0,0.0,0,276,276,4,2,2025-05-21 00:00:00,2025-05-21 23:55:00,regime,ALIGNED_RANGE_2025-05-21_2025-05-21,ALIGNED_RANGE,2025-05-21,2025-05-21 23:55:00,171.81,1,157.54|186.08
CHOPPY_2025-05-22_2025-05-23,10000.0,10186.99,186.99,1,1,0,0,100.0,0.0,0.0,0,525,525,2,1,2025-05-22 00:00:00,2025-05-23 20:40:00,regime,CHOPPY_2025-05-22_2025-05-23,CHOPPY,2025-05-22,2025-05-23 23:55:00,186.99,1,186.99
ALIGNED_RANGE_2025-05-25_2025-05-25,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,23,23,0,0,2025-05-25 22:05:00,2025-05-25 23:55:00,regime,ALIGNED_RANGE_2025-05-25_2025-05-25,ALIGNED_RANGE,2025-05-25,2025-05-25 23:55:00,0.0,0,
CHOPPY_2025-05-26_2025-05-30,10000.0,10132.63,132.63,7,3,4,0,42.86,1.36,1.89,12,1324,1324,26,7,2025-05-26 00:00:00,2025-05-30 20:40:00,regime,CHOPPY_2025-05-26_2025-05-30,CHOPPY,2025-05-26,2025-05-30 23:55:00,18.95,1,-87.50|141.19|-103.04|-87.08|177.27|-87.85|179.63
NEUTRAL_2025-06-01_2025-06-01,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,23,23,0,0,2025-06-01 22:05:00,2025-06-01 23:55:00,regime,NEUTRAL_2025-06-01_2025-06-01,NEUTRAL,2025-06-01,2025-06-01 23:55:00,0.0,0,
