time,open,high,low,close,tick_volume,spread,real_volume,MA20,range,momentum,vol_avg,volume_spike,prev_high,prev_low,bos_up,bos_down,trend,zone_high_20,zone_low_20,near_support,near_resistance,candle_range,avg_range_20,direction,flip,flip_count_10,market_state,score,signal,bias
2026-04-08 16:20:00,4748.27,4753.15,4747.27,4752.57,1391,15,0,4752.8730000000005,5.8799999999992,4.299999999999272,1719.4,False,4755.02,4745.66,0,0,neutral,4765.0,4732.72,0,0,5.8799999999992,8.560500000000047,1,1,6.0,CHOPPY,0,NO_TRADE,NONE
2026-04-08 16:25:00,4752.55,4753.94,4748.76,4750.15,1386,15,0,4752.587,5.1799999999993815,-2.4200000000000728,1680.65,False,4753.15,4747.27,1,0,bullish,4763.31,4732.72,0,0,5.1799999999993815,8.054500000000008,0,1,7.0,CHOPPY,20,NO_TRADE,NONE
2026-04-08 16:30:00,4750.2,4757.44,4748.07,4755.76,1568,14,0,4752.723,9.36999999999989,5.610000000000582,1650.4,False,4753.94,4748.76,1,1,bearish,4763.31,4732.72,0,0,9.36999999999989,7.959500000000025,1,1,7.0,CHOPPY,20,NO_TRADE,NONE
2026-04-08 16:35:00,4755.77,4759.2,4753.51,4759.13,1092,15,0,4753.7655,5.6899999999996,3.369999999999891,1588.65,False,4757.44,4748.07,1,0,bullish,4763.31,4734.17,0,0,5.6899999999996,7.219500000000016,1,0,6.0,CHOPPY,20,NO_TRADE,NONE
2026-04-08 16:40:00,4759.18,4760.25,4757.14,4758.55,1162,15,0,4754.3335,3.1099999999996726,-0.5799999999999272,1547.7,False,4759.2,4753.51,1,0,bullish,4763.31,4734.17,0,0,3.1099999999996726,6.760500000000002,0,1,6.0,CHOPPY,30,NO_TRADE,NONE
2026-04-08 16:45:00,4758.55,4762.24,4756.61,4760.79,1140,15,0,4755.241499999999,5.630000000000109,2.2399999999997817,1499.45,False,4760.25,4757.14,1,1,bearish,4763.31,4734.17,0,0,5.630000000000109,6.639499999999998,1,1,7.0,CHOPPY,20,NO_TRADE,NONE
2026-04-08 16:50:00,4760.81,4765.58,4760.19,4760.86,1238,15,0,4756.103499999999,5.390000000000327,0.0699999999997089,1453.8,False,4762.24,4756.61,1,0,bullish,4765.58,4742.9,0,0,5.390000000000327,6.226999999999999,1,0,6.0,CHOPPY,30,NO_TRADE,NONE
2026-04-08 16:55:00,4760.93,4762.64,4759.8,4760.56,1023,15,0,4756.4115,2.840000000000145,-0.2999999999992724,1410.15,False,4765.58,4760.19,0,1,bearish,4765.58,4745.66,0,0,2.840000000000145,5.786499999999978,0,1,7.0,CHOPPY,30,NO_TRADE,NONE
2026-04-08 17:00:00,4760.4,4764.32,4759.22,4760.33,981,15,0,4756.6795,5.099999999999454,-0.2300000000004729,1365.6,False,4762.64,4759.8,1,1,bearish,4765.58,4745.66,0,0,5.099999999999454,5.815499999999974,0,0,6.0,CHOPPY,30,NO_TRADE,NONE
2026-04-08 17:05:00,4760.33,4760.59,4756.33,4757.93,936,15,0,4757.029,4.260000000000218,-2.399999999999636,1321.85,False,4764.32,4759.22,0,1,bearish,4765.58,4745.66,0,0,4.260000000000218,5.655499999999984,0,0,6.0,CHOPPY,20,NO_TRADE,NONE
2026-04-08 17:10:00,4757.86,4762.08,4757.6,4760.82,901,15,0,4757.223,4.479999999999563,2.889999999999418,1282.2,False,4760.59,4756.33,1,0,bullish,4765.58,4745.66,0,0,4.479999999999563,5.545999999999959,1,1,6.0,CHOPPY,20,NO_TRADE,NONE
2026-04-08 17:15:00,4761.03,4762.67,4754.63,4755.45,992,15,0,4756.9765,8.039999999999964,-5.369999999999891,1240.8,False,4762.08,4757.6,1,1,bearish,4765.58,4745.66,0,0,8.039999999999964,5.70349999999994,0,1,6.0,CHOPPY,20,NO_TRADE,NONE
2026-04-08 17:20:00,4755.45,4756.98,4746.69,4748.67,1448,15,0,4756.620000000001,10.289999999999964,-6.779999999999745,1240.6,True,4762.67,4754.63,0,1,bearish,4765.58,4745.66,0,0,10.289999999999964,5.847999999999911,0,0,5.0,RANGING,35,NO_TRADE,NONE
2026-04-08 17:25:00,4748.81,4753.82,4745.64,4751.09,1697,15,0,4756.232,8.179999999999382,2.4200000000000728,1255.0,True,4756.98,4746.69,0,1,bearish,4765.58,4745.64,0,0,8.179999999999382,6.01299999999992,1,1,6.0,CHOPPY,27,NO_TRADE,NONE
2026-04-08 17:30:00,4751.13,4754.38,4743.08,4744.82,1290,15,0,4755.601000000001,11.300000000000182,-6.270000000000437,1250.3,True,4753.82,4745.64,1,1,bearish,4765.58,4743.08,0,0,11.300000000000182,6.284499999999889,0,1,6.0,CHOPPY,27,NO_TRADE,NONE
2026-04-08 17:35:00,4744.97,4745.12,4737.17,4738.28,1593,15,0,4754.6810000000005,7.949999999999818,-6.539999999999964,1264.45,True,4754.38,4743.08,0,1,bearish,4765.58,4737.17,0,0,7.949999999999818,6.4724999999999,0,0,5.0,RANGING,35,NO_TRADE,NONE
2026-04-08 17:40:00,4737.32,4742.53,4736.36,4740.76,1536,15,0,4753.8385,6.170000000000073,2.480000000000473,1275.2,True,4745.12,4737.17,0,1,bearish,4765.58,4736.36,0,0,6.170000000000073,6.441499999999905,1,1,6.0,CHOPPY,27,NO_TRADE,NONE
2026-04-08 17:45:00,4740.75,4741.38,4736.14,4738.37,1494,15,0,4752.862999999999,5.239999999999782,-2.3900000000003274,1288.3,True,4742.53,4736.36,0,1,bearish,4765.58,4736.14,0,0,5.239999999999782,6.51949999999988,0,1,6.0,CHOPPY,37,NO_TRADE,NONE
2026-04-08 17:50:00,4738.37,4741.81,4736.19,4736.77,1202,15,0,4751.996499999999,5.6200000000008,-1.5999999999994543,1290.4,False,4741.38,4736.14,1,0,bullish,4765.58,4736.14,1,0,5.6200000000008,6.453999999999906,0,0,6.0,CHOPPY,50,C_SETUP,BUY
2026-04-08 17:55:00,4736.78,4738.03,4731.87,4734.05,1125,15,0,4751.2855,6.159999999999855,-2.7200000000002547,1259.75,False,4741.81,4736.19,0,1,bearish,4765.58,4731.87,0,0,6.159999999999855,6.293999999999869,0,0,6.0,CHOPPY,20,NO_TRADE,NONE
2026-04-08 18:00:00,4734.25,4740.38,4728.38,4740.23,1459,15,0,4750.6685,12.0,6.1799999999993815,1263.15,True,4738.03,4731.87,1,1,bearish,4765.58,4728.38,0,0,12.0,6.599999999999909,1,1,6.0,CHOPPY,37,NO_TRADE,NONE
2026-04-08 18:05:00,4740.23,4743.89,4739.3,4743.4,1422,15,0,4750.331,4.5900000000001455,3.1700000000000728,1264.95,True,4740.38,4728.38,1,0,bullish,4765.58,4728.38,0,0,4.5900000000001455,6.570499999999948,1,0,5.0,RANGING,35,NO_TRADE,NONE
2026-04-08 18:10:00,4743.4,4744.62,4740.8,4743.74,1311,15,0,4749.73,3.819999999999709,0.3400000000001455,1252.1,True,4743.89,4739.3,1,0,bullish,4765.58,4728.38,0,0,3.819999999999709,6.292999999999938,1,0,5.0,RANGING,45,NO_TRADE,NONE
2026-04-08 18:15:00,4743.76,4744.66,4718.44,4729.55,1675,15,0,4748.251,26.22000000000025,-14.1899999999996,1281.25,True,4744.62,4740.8,1,1,bearish,4765.58,4718.44,0,0,26.22000000000025,7.319499999999971,0,1,5.0,VOLATILE,42,NO_TRADE,NONE
2026-04-08 18:20:00,4729.59,4731.93,4721.39,4723.63,2639,15,0,4746.505,10.539999999999964,-5.920000000000073,1355.1,True,4744.66,4718.44,0,0,neutral,4765.58,4718.44,0,0,10.539999999999964,7.690999999999986,0,0,4.0,RANGING,15,NO_TRADE,NONE
2026-04-08 18:25:00,4723.66,4726.99,4717.99,4722.49,2312,15,0,4744.589999999999,9.0,-1.1400000000003274,1413.7,True,4731.93,4721.39,0,1,bearish,4765.58,4717.99,0,0,9.0,7.85949999999998,0,0,4.0,RANGING,45,NO_TRADE,NONE
2026-04-08 18:30:00,4722.47,4725.01,4720.63,4722.96,1669,15,0,4742.695000000001,4.380000000000109,0.4700000000002546,1435.25,True,4726.99,4717.99,0,0,neutral,4764.32,4717.99,0,0,4.380000000000109,7.808999999999969,1,1,4.0,RANGING,35,NO_TRADE,NONE
2026-04-08 18:35:00,4722.98,4723.4,4713.56,4714.9,1835,15,0,4740.411999999999,9.839999999999236,-8.0600000000004,1475.85,True,4725.01,4720.63,0,1,bearish,4764.32,4713.56,0,0,9.839999999999236,8.158999999999924,0,1,4.0,RANGING,35,NO_TRADE,NONE
2026-04-08 18:40:00,4714.9,4716.84,4708.51,4709.57,1767,15,0,4737.874000000001,8.329999999999927,-5.329999999999927,1515.15,True,4723.4,4713.56,0,1,bearish,4762.67,4708.51,0,0,8.329999999999927,8.320499999999948,0,0,4.0,RANGING,35,NO_TRADE,NONE
2026-04-08 18:45:00,4709.44,4717.06,4708.28,4710.36,1549,15,0,4735.4955,8.780000000000655,0.7899999999999636,1545.8,True,4716.84,4708.51,1,1,bearish,4762.67,4708.28,0,0,8.780000000000655,8.54649999999997,1,1,5.0,RANGING,45,NO_TRADE,NONE
2026-04-08 18:50:00,4710.36,4711.86,4704.42,4707.86,1616,15,0,4732.8475,7.4399999999996,-2.5,1581.55,True,4717.06,4708.28,0,1,bearish,4762.67,4704.42,0,0,7.4399999999996,8.694499999999971,0,1,5.0,RANGING,45,NO_TRADE,NONE
2026-04-08 18:55:00,4707.82,4707.95,4703.91,4705.46,1513,15,0,4730.348,4.039999999999964,-2.399999999999636,1607.6,False,4711.86,4704.42,0,1,bearish,4756.98,4703.91,0,0,4.039999999999964,8.49449999999997,0,0,5.0,RANGING,28,NO_TRADE,NONE
2026-04-08 19:00:00,4705.36,4708.64,4701.59,4702.14,2020,15,0,4728.0215,7.050000000000182,-3.319999999999709,1636.2,True,4707.95,4703.91,1,1,bearish,4754.38,4701.59,1,0,7.050000000000182,8.332499999999982,0,0,5.0,RANGING,65,B_SETUP,NONE
2026-04-08 19:05:00,4702.14,4708.95,4699.61,4707.89,2019,15,0,4725.8615,9.340000000000146,5.75,1652.3,True,4708.64,4701.59,1,1,bearish,4754.38,4699.61,0,0,9.340000000000146,8.39050000000002,1,1,5.0,RANGING,35,NO_TRADE,NONE
2026-04-08 19:10:00,4707.87,4716.48,4706.64,4715.59,1554,15,0,4724.4,9.839999999999236,7.699999999999818,1665.5,False,4708.95,4699.61,1,0,bullish,4745.12,4699.61,0,0,9.839999999999236,8.317499999999972,1,0,5.0,RANGING,28,NO_TRADE,NONE
2026-04-08 19:15:00,4715.61,4718.6,4710.34,4711.52,1253,15,0,4723.062,8.260000000000218,-4.069999999999709,1648.5,False,4716.48,4706.64,1,0,bullish,4744.66,4699.61,0,0,8.260000000000218,8.332999999999993,0,1,6.0,CHOPPY,20,NO_TRADE,NONE
2026-04-08 19:20:00,4711.4,4712.33,4708.77,4710.82,1017,15,0,4721.5650000000005,3.5599999999994907,-0.7000000000007276,1622.55,False,4718.6,4710.34,0,1,bearish,4744.66,4699.61,0,0,3.5599999999994907,8.202499999999963,0,0,5.0,RANGING,38,NO_TRADE,NONE
2026-04-08 19:25:00,4710.82,4714.74,4707.43,4708.72,1146,15,0,4720.0825,7.309999999999491,-2.0999999999994543,1605.15,False,4712.33,4708.77,1,1,bearish,4744.66,4699.61,0,0,7.309999999999491,8.30599999999995,0,0,4.0,RANGING,38,NO_TRADE,NONE
2026-04-08 19:30:00,4708.73,4718.96,4708.11,4716.92,1389,15,0,4719.09,10.850000000000364,8.199999999999818,1614.5,False,4714.74,4707.43,1,0,bullish,4744.66,4699.61,0,0,10.850000000000364,8.567499999999928,1,1,5.0,RANGING,28,NO_TRADE,NONE
2026-04-08 19:35:00,4716.86,4724.81,4716.21,4724.03,1594,15,0,4718.589,8.600000000000364,7.109999999999673,1637.95,False,4718.96,4708.11,1,0,bullish,4744.66,4699.61,0,0,8.600000000000364,8.689499999999953,1,0,4.0,RANGING,28,NO_TRADE,NONE
2026-04-08 19:40:00,4723.89,4724.92,4720.78,4722.1,1178,15,0,4717.6825,4.140000000000327,-1.929999999999381,1623.9,False,4724.81,4716.21,1,0,bullish,4744.66,4699.61,0,0,4.140000000000327,8.29649999999997,0,1,4.0,RANGING,28,NO_TRADE,NONE
2026-04-08 19:45:00,4722.1,4726.7,4721.82,4725.92,1064,15,0,4716.808500000001,4.880000000000109,3.819999999999709,1606.0,False,4724.92,4720.78,1,0,bullish,4744.66,4699.61,0,0,4.880000000000109,8.310999999999968,1,1,5.0,RANGING,28,NO_TRADE,NONE
2026-04-08 19:50:00,4725.92,4730.6,4725.76,4729.85,1205,14,0,4716.114,4.8400000000001455,3.930000000000291,1600.7,False,4726.7,4721.82,1,0,bullish,4744.66,4699.61,0,0,4.8400000000001455,8.36199999999999,1,0,5.0,RANGING,28,NO_TRADE,NONE
