time,open,high,low,close,tick_volume,spread,real_volume,hour,day_of_week,MA20,range,momentum,vol_avg,volume_spike,h1_prev_high,h1_prev_low,h1_bos_up,h1_bos_down,h1_ma20,h1_momentum,h1_trend,h1_bias,prev_high,prev_low,bos_up,bos_down,trend
2026-04-14 04:05:00,4768.21,4768.48,4767.71,4768.08,415,15,0,4,1,4770.116,0.7699999999995271,-0.1300000000001091,736.95,False,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4770.57,4767.04,0,0,neutral
2026-04-14 04:10:00,4768.08,4769.15,4767.95,4768.77,295,15,0,4,1,4770.1835,1.199999999999818,0.6900000000005093,688.4,False,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4768.48,4767.71,1,0,bullish
2026-04-14 04:15:00,4768.77,4773.65,4768.57,4773.65,492,15,0,4,1,4770.455,5.079999999999927,4.8799999999992,663.0,False,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4769.15,4767.95,1,0,bullish
2026-04-14 04:20:00,4773.65,4775.39,4773.58,4774.61,688,15,0,4,1,4770.5675,1.8100000000004,0.9600000000000364,643.55,True,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4773.65,4768.57,1,0,bullish
2026-04-14 04:25:00,4774.59,4777.04,4774.35,4775.98,687,15,0,4,1,4770.5635,2.6899999999996,1.3699999999998909,624.05,True,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4775.39,4773.58,1,0,bullish
2026-04-14 04:30:00,4775.98,4776.4,4774.07,4774.18,686,15,0,4,1,4770.535,2.3299999999999272,-1.7999999999992724,610.75,True,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4777.04,4774.35,0,1,bearish
2026-04-14 04:35:00,4774.18,4775.41,4771.46,4773.22,575,15,0,4,1,4770.429,3.949999999999818,-0.9600000000000364,602.55,False,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4776.4,4774.07,0,1,bearish
2026-04-14 04:40:00,4773.22,4773.58,4772.04,4773.46,380,15,0,4,1,4770.469,1.5399999999999636,0.2399999999997817,585.3,False,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4775.41,4771.46,0,0,neutral
2026-04-14 04:45:00,4773.46,4775.66,4772.66,4775.57,568,15,0,4,1,4770.79,3.0,2.1099999999996726,572.9,False,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4773.58,4772.04,1,0,bullish
2026-04-14 04:50:00,4775.57,4775.96,4773.57,4774.58,453,15,0,4,1,4771.0545,2.3900000000003274,-0.9899999999997816,554.75,False,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4775.66,4772.66,1,0,bullish
2026-04-14 04:55:00,4774.58,4774.68,4773.66,4774.05,248,15,0,4,1,4771.255999999999,1.0200000000004366,-0.5299999999997453,527.7,False,4775.72,4765.67,1,0,4740.325,5.8400000000001455,bullish,bullish,4775.96,4773.57,0,0,neutral
2026-04-14 05:00:00,4774.05,4774.21,4770.67,4772.58,508,15,0,5,1,4771.451,3.539999999999964,-1.4700000000002549,519.45,False,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4774.68,4773.66,0,1,bearish
2026-04-14 05:05:00,4772.58,4772.69,4767.08,4767.36,766,15,0,5,1,4771.39,5.609999999999673,-5.220000000000255,525.9,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4774.21,4770.67,0,1,bearish
2026-04-14 05:10:00,4767.36,4768.21,4763.26,4765.46,1167,15,0,5,1,4771.282999999999,4.949999999999818,-1.899999999999636,557.2,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4772.69,4767.08,0,1,bearish
2026-04-14 05:15:00,4765.46,4767.48,4764.85,4766.71,818,15,0,5,1,4771.275,2.6299999999992,1.25,559.8,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4768.21,4763.26,0,0,neutral
2026-04-14 05:20:00,4766.71,4768.16,4764.78,4764.8,589,15,0,5,1,4771.1255,3.380000000000109,-1.9099999999998545,558.9,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4767.48,4764.85,1,1,bullish
2026-04-14 05:25:00,4764.8,4764.94,4761.65,4764.74,945,15,0,5,1,4770.7875,3.289999999999964,-0.0600000000004001,588.1,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4768.16,4764.78,0,1,bearish
2026-04-14 05:30:00,4764.74,4767.54,4760.46,4761.99,1380,15,0,5,1,4770.3105000000005,7.079999999999927,-2.75,626.5,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4764.94,4761.65,1,1,bullish
2026-04-14 05:35:00,4762.0,4763.44,4758.3,4759.14,1296,15,0,5,1,4769.857,5.139999999999418,-2.8499999999994543,670.65,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4767.54,4760.46,0,1,bearish
