time,open,high,low,close,tick_volume,spread,real_volume,volume
2026-04-27 06:00:00,4718.21,4729.44,4714.49,4724.17,13887,4,0,13887
2026-04-27 07:00:00,4724.17,4730.11,4722.78,4725.02,9736,4,0,9736
2026-04-27 08:00:00,4725.04,4725.53,4708.8,4710.03,15717,4,0,15717
2026-04-27 09:00:00,4710.04,4715.64,4709.24,4712.83,17600,4,0,17600
2026-04-27 10:00:00,4712.85,4718.4,4710.07,4713.37,16770,4,0,16770
2026-04-27 11:00:00,4713.37,4714.77,4705.32,4706.82,16119,4,0,16119
2026-04-27 12:00:00,4706.87,4708.29,4699.55,4703.6,12582,4,0,12582
2026-04-27 13:00:00,4703.62,4710.94,4699.5,4708.78,12194,4,0,12194
2026-04-27 14:00:00,4708.82,4709.13,4700.13,4704.81,14136,4,0,14136
2026-04-27 15:00:00,4704.82,4712.64,4696.92,4699.21,19250,4,0,19250
2026-04-27 16:00:00,4699.36,4703.46,4689.31,4696.18,26119,4,0,26119
2026-04-27 17:00:00,4696.18,4696.74,4676.55,4678.08,28737,4,0,28737
2026-04-27 18:00:00,4678.08,4682.55,4667.23,4670.04,25810,4,0,25810
2026-04-27 19:00:00,4670.04,4679.51,4667.22,4676.69,16615,4,0,16615
2026-04-27 20:00:00,4676.69,4686.16,4668.19,4682.21,18696,4,0,18696
2026-04-27 21:00:00,4682.21,4685.47,4678.97,4680.69,14609,4,0,14609
2026-04-27 22:00:00,4680.69,4682.69,4676.67,4680.86,15141,4,0,15141
2026-04-28 01:00:00,4681.69,4691.21,4681.29,4687.93,6359,4,0,6359
2026-04-28 02:00:00,4687.93,4695.0,4687.25,4691.87,6988,4,0,6988
2026-04-28 03:00:00,4691.89,4701.24,4690.44,4690.54,13588,4,0,13588
2026-04-28 04:00:00,4690.54,4691.46,4669.49,4670.69,18856,4,0,18856
2026-04-28 05:00:00,4670.69,4679.81,4666.44,4669.13,16692,4,0,16692
2026-04-28 06:00:00,4669.13,4675.81,4668.47,4670.89,11942,4,0,11942
2026-04-28 07:00:00,4670.89,4671.24,4666.56,4667.62,9710,4,0,9710
2026-04-28 08:00:00,4667.64,4668.01,4623.88,4632.21,24351,4,0,24351
2026-04-28 09:00:00,4632.21,4642.96,4623.23,4628.99,21450,4,0,21450
2026-04-28 10:00:00,4628.99,4639.45,4620.45,4633.28,19306,4,0,19306
2026-04-28 11:00:00,4633.28,4635.49,4614.73,4629.69,20697,4,0,20697
2026-04-28 12:00:00,4629.69,4630.03,4604.58,4604.87,20054,4,0,20054
2026-04-28 13:00:00,4604.87,4616.49,4603.07,4603.2,17585,4,0,17585
2026-04-28 14:00:00,4603.2,4608.73,4555.49,4562.55,27930,4,0,27930
2026-04-28 15:00:00,4562.55,4600.16,4554.83,4593.78,28044,4,0,28044
2026-04-28 16:00:00,4593.78,4594.67,4570.82,4580.2,30321,4,0,30321
2026-04-28 17:00:00,4580.23,4580.61,4557.29,4574.44,38556,4,0,38556
2026-04-28 18:00:00,4574.44,4586.57,4567.01,4586.57,28588,4,0,28588
2026-04-28 19:00:00,4586.57,4594.75,4577.84,4592.23,22844,4,0,22844
2026-04-28 20:00:00,4592.23,4601.51,4587.19,4594.73,19813,4,0,19813
2026-04-28 21:00:00,4594.73,4600.49,4592.0,4594.26,14595,4,0,14595
2026-04-28 22:00:00,4594.26,4599.93,4593.36,4595.67,12490,4,0,12490
2026-04-29 01:00:00,4596.54,4599.6,4592.38,4594.08,4845,4,0,4845
2026-04-29 02:00:00,4594.08,4596.21,4587.9,4595.65,7421,4,0,7421
2026-04-29 03:00:00,4595.68,4610.25,4594.95,4600.15,15389,4,0,15389
2026-04-29 04:00:00,4600.15,4600.38,4575.99,4584.79,23538,4,0,23538
2026-04-29 05:00:00,4584.79,4604.27,4584.79,4593.66,17911,4,0,17911
2026-04-29 06:00:00,4593.65,4603.36,4592.2,4595.45,12769,4,0,12769
2026-04-29 07:00:00,4595.46,4605.61,4595.28,4604.76,9953,4,0,9953
2026-04-29 08:00:00,4604.78,4607.73,4590.83,4591.1,13522,4,0,13522
2026-04-29 09:00:00,4591.1,4598.68,4580.99,4584.51,18284,4,0,18284
2026-04-29 10:00:00,4584.51,4588.91,4567.29,4567.83,20484,4,0,20484
2026-04-29 11:00:00,4567.99,4576.73,4557.19,4573.13,20577,4,0,20577
2026-04-29 12:00:00,4573.13,4580.86,4551.51,4555.67,19224,4,0,19224
2026-04-29 13:00:00,4555.67,4576.6,4555.02,4569.81,16770,4,0,16770
2026-04-29 14:00:00,4569.83,4571.99,4559.3,4561.55,17101,4,0,17101
2026-04-29 15:00:00,4561.55,4569.11,4541.9,4544.91,20960,4,0,20960
2026-04-29 16:00:00,4544.91,4553.34,4510.02,4521.83,31366,4,0,31366
2026-04-29 17:00:00,4521.82,4542.75,4517.86,4539.26,28643,4,0,28643
2026-04-29 18:00:00,4539.26,4558.95,4536.29,4547.65,27653,4,0,27653
2026-04-29 19:00:00,4547.58,4564.85,4543.28,4545.46,28317,4,0,28317
2026-04-29 20:00:00,4545.46,4554.54,4541.63,4547.3,20988,4,0,20988
2026-04-29 21:00:00,4547.3,4552.8,4518.33,4538.23,35240,4,0,35240
2026-04-29 22:00:00,4538.2,4550.66,4533.19,4546.81,23009,4,0,23009
