time,open,high,low,close,tick_volume,spread,real_volume,volume,prev_close,momentum,ema20,slope,high_20,low_20,tr,atr14,avg_tr_20,range,range_mean,candle_expansion,volatility,trend_up,trend_down,breakout,reversal,flip,flip_count_10,choppy,confidence_base,behavior_label,behavior_confidence,swing_high,swing_low,swing_high_value,swing_low_value,last_swing_high,last_swing_low,prev_swing_high,prev_swing_low,bos_up,bos_down,bos,structure_state,choch,double_top,double_bottom,break_retest,pattern,date,hour,session,daily_high,daily_low,session_high,session_low,support_level,resistance_level,is_support,is_resistance,supply_zone,demand_zone,order_block,fvg_zone,support_strength,resistance_strength,alpha_score,alpha_signal,alpha_notes,flow_score,flow_signal,flow_notes,signal,signal_owner,confirm_score,position_risk_pct,position_risk,stop_distance,direction,entry_price,stop_loss,take_profit,position_size,daily_loss_locked,trade_allowed,quality,confirmed_signal,market_regime
2026-04-27 17:20:00,4695.36,4696.35,4691.96,4693.21,2163,4,0,2163,4695.36,-2.149999999999636,4695.981611062075,-0.29174853284985147,4704.53,4687.88,4.390000000000327,5.567857142857195,5.459000000000015,4.390000000000327,5.459000000000015,False,0,0,1,0,0,0,6.0,0,50,TREND_DOWN,73,False,False,,,4696.64,4687.88,4696.64,4687.88,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,17,NEW_YORK,4730.11,4667.22,0,0,4687.88,4712.64,1,1,0,0,0,0,1.0,1.0,56,,,31,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,10.022142857142951,SHORT,4693.21,4703.232142857143,4673.165714285714,0.0,False,False,NONE,no_trade,TREND_DOWN
2026-04-27 17:25:00,4693.21,4694.27,4686.16,4688.98,2318,4,0,2318,4693.21,-4.230000000000473,4695.314790960925,-0.666820101149824,4704.53,4687.88,8.110000000000582,5.583571428571498,5.563500000000022,8.110000000000582,5.563500000000022,True,0,0,1,0,0,0,5.0,0,50,TREND_DOWN,81,False,False,,,4696.64,4687.88,4696.64,4687.88,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,17,NEW_YORK,4730.11,4667.22,0,0,4686.16,4712.64,1,1,0,1,0,0,1.8,1.0,56,,,39,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,10.050428571428697,SHORT,4688.98,4699.030428571428,4668.879142857142,0.0,False,False,NONE,no_trade,TREND_DOWN
2026-04-27 17:30:00,4688.98,4689.06,4683.48,4685.72,2404,4,0,2404,4688.98,-3.259999999999309,4694.401001345599,-0.9137896153260954,4704.53,4686.16,5.580000000000837,5.705000000000122,5.699000000000069,5.580000000000837,5.699000000000069,False,0,0,1,1,0,0,4.0,0,50,BREAKOUT,73,False,True,,4683.48,4696.64,4683.48,4696.64,4687.88,0,1,1,NEUTRAL,0,0,0,1,BREAK_RETEST,2026-04-27,17,NEW_YORK,4730.11,4667.22,0,0,4683.48,4712.64,1,1,0,1,0,0,1.8,1.0,63,,,69,FLOW,exploratory,FLOW,FLOW,69.0,0.005,5.0,10.269000000000219,LONG,4685.72,4675.451,4706.258000000001,0.48690232739311456,False,True,MEDIUM,buy,BREAKOUT
2026-04-27 17:35:00,4685.72,4696.74,4685.53,4693.29,2701,4,0,2701,4685.72,7.569999999999709,4694.295191693637,-0.10580965196186298,4703.46,4683.48,11.210000000000036,6.318571428571561,5.958000000000084,11.210000000000036,5.958000000000084,True,0,0,0,0,1,1,4.0,0,50,REVERSAL,77,True,False,4696.74,,4696.74,4683.48,4696.64,4683.48,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,17,NEW_YORK,4730.11,4667.22,0,0,4683.48,4712.64,1,1,0,0,1,0,1.0,1.0,46,,,59,FLOW,exploratory,FLOW,FLOW,59.0,0.005,5.0,11.37342857142881,LONG,4693.29,4681.916571428571,4716.036857142858,0.4396211721556418,False,True,MEDIUM,buy,REVERSAL
2026-04-27 17:40:00,4693.29,4695.07,4690.07,4693.43,2537,4,0,2537,4693.29,0.14000000000032742,4694.212792484719,-0.0823992089181047,4703.46,4683.48,5.0,6.043571428571535,5.850000000000091,5.0,5.850000000000091,False,0,0,1,0,0,1,4.0,0,50,TREND_DOWN,73,False,False,,,4696.74,4683.48,4696.74,4683.48,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,17,NEW_YORK,4730.11,4667.22,0,0,4683.48,4712.64,1,1,0,0,0,0,1.0,1.0,56,,,31,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,10.878428571428763,SHORT,4693.43,4704.308428571429,4671.673142857143,0.0,False,False,NONE,no_trade,TREND_DOWN
2026-04-27 17:45:00,4693.43,4694.02,4690.46,4690.93,1837,4,0,1837,4693.43,-2.5,4693.900145581413,-0.31264690330590383,4703.46,4683.48,3.5600000000004,5.856428571428686,5.850500000000148,3.5600000000004,5.850500000000148,False,0,0,1,0,0,0,4.0,1,50,TREND_DOWN,73,False,False,,,4696.74,4683.48,4696.74,4683.48,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,17,NEW_YORK,4730.11,4667.22,0,0,4683.48,4712.64,1,1,0,0,0,0,1.0,1.0,46,,,33,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,10.541571428571634,SHORT,4690.93,4701.471571428572,4669.846857142857,0.0,False,False,NONE,no_trade,TREND_DOWN
2026-04-27 17:50:00,4690.93,4691.93,4679.98,4680.68,2356,4,0,2356,4690.93,-10.25,4692.6410840974695,-1.2590614839436967,4703.46,4683.48,11.950000000000728,6.4578571428573275,6.168000000000165,11.950000000000728,6.168000000000165,True,0,0,1,1,0,0,4.0,0,50,BREAKOUT,81,False,False,,,4696.74,4683.48,4696.74,4683.48,0,1,1,NEUTRAL,0,0,0,1,BREAK_RETEST,2026-04-27,17,NEW_YORK,4730.11,4667.22,0,0,4679.98,4709.84,1,1,0,1,0,0,1.8,1.0,63,,,69,FLOW,exploratory,FLOW,FLOW,69.0,0.005,5.0,11.62414285714319,LONG,4680.68,4669.055857142857,4703.928285714287,0.43013924221753985,False,True,MEDIUM,buy,BREAKOUT
2026-04-27 17:55:00,4680.68,4681.1,4676.55,4678.08,2469,4,0,2469,4680.68,-2.600000000000364,4691.254314183425,-1.3867699140446348,4703.46,4679.98,4.550000000000182,6.34500000000019,6.001000000000158,4.550000000000182,6.001000000000158,False,0,0,1,1,0,0,3.0,0,50,BREAKOUT,73,False,False,,,4696.74,4683.48,4696.74,4683.48,0,1,1,NEUTRAL,0,0,0,1,BREAK_RETEST,2026-04-27,17,NEW_YORK,4730.11,4667.22,0,0,4676.55,4707.79,1,1,0,1,0,0,1.8,1.0,63,,,69,FLOW,exploratory,FLOW,FLOW,69.0,0.005,5.0,11.421000000000342,LONG,4678.08,4666.659,4700.9220000000005,0.4377900358987698,False,True,MEDIUM,buy,BREAKOUT
2026-04-27 18:00:00,4678.08,4679.38,4667.78,4668.72,3135,4,0,3135,4678.08,-9.359999999999673,4689.108189023099,-2.146125160325937,4703.03,4676.55,11.600000000000364,6.704285714285951,6.387000000000171,11.600000000000364,6.387000000000171,True,0,0,1,1,0,0,3.0,0,50,BREAKOUT,81,False,False,,,4696.74,4683.48,4696.74,4683.48,0,1,1,NEUTRAL,0,0,0,1,BREAK_RETEST,2026-04-27,18,NEW_YORK,4730.11,4667.22,0,0,4667.78,4705.25,1,1,0,1,0,0,1.8,1.0,63,,,69,FLOW,exploratory,FLOW,FLOW,69.0,0.005,5.0,12.067714285714711,LONG,4668.72,4656.652285714285,4692.85542857143,0.4143286691763,False,True,MEDIUM,buy,BREAKOUT
2026-04-27 18:05:00,4668.72,4673.54,4667.23,4670.27,2746,4,0,2746,4668.72,1.550000000000182,4687.314075782804,-1.7941132402947915,4702.6,4667.78,6.3100000000004,6.825000000000273,6.571500000000197,6.3100000000004,6.571500000000197,False,0,0,1,0,0,1,3.0,0,50,TREND_DOWN,73,False,True,,4667.23,4696.74,4667.23,4696.74,4683.48,0,1,1,NEUTRAL,0,0,0,1,BREAK_RETEST,2026-04-27,18,NEW_YORK,4730.11,4667.22,0,0,4667.23,4704.53,1,1,0,1,1,0,1.8,1.0,93,ALPHA,strict_alpha,61,FLOW,exploratory,ALPHA,ALPHA,93.0,0.01,10.0,15.015000000000601,SHORT,4670.27,4685.285000000001,4640.239999999999,0.6660006660006393,False,True,ELITE,sell,TREND_DOWN
