time,open,high,low,close,tick_volume,spread,real_volume,volume
2026-04-24 04:40:00,4695.99,4697.76,4690.37,4690.81,1741,4,0,1741
2026-04-24 04:45:00,4690.81,4697.08,4690.29,4697.02,1781,4,0,1781
2026-04-24 04:50:00,4697.02,4697.02,4693.3,4695.52,1554,4,0,1554
2026-04-24 04:55:00,4695.52,4700.83,4693.86,4699.59,1705,4,0,1705
2026-04-24 05:00:00,4699.6,4700.73,4695.03,4697.04,1748,4,0,1748
2026-04-24 05:05:00,4697.04,4699.05,4694.91,4694.91,1452,4,0,1452
2026-04-24 05:10:00,4694.89,4694.89,4690.2,4693.06,1835,4,0,1835
2026-04-24 05:15:00,4693.06,4696.12,4690.08,4691.8,1343,4,0,1343
2026-04-24 05:20:00,4691.8,4692.41,4684.9,4684.98,1618,4,0,1618
2026-04-24 05:25:00,4684.98,4686.86,4682.12,4683.65,1596,4,0,1596
2026-04-24 05:30:00,4683.65,4690.92,4683.65,4689.04,1895,4,0,1895
2026-04-24 05:35:00,4689.02,4689.37,4682.88,4683.47,1794,4,0,1794
2026-04-24 05:40:00,4683.47,4683.66,4680.17,4683.42,1704,4,0,1704
2026-04-24 05:45:00,4683.42,4684.12,4675.18,4675.94,1817,4,0,1817
2026-04-24 05:50:00,4675.96,4678.75,4675.13,4678.32,1770,4,0,1770
2026-04-24 05:55:00,4678.32,4678.97,4673.14,4676.72,1906,4,0,1906
2026-04-24 06:00:00,4676.72,4678.32,4671.44,4672.61,1813,4,0,1813
2026-04-24 06:05:00,4672.61,4674.68,4669.6,4670.4,1896,4,0,1896
2026-04-24 06:10:00,4670.4,4671.84,4668.67,4670.33,1426,4,0,1426
2026-04-24 06:15:00,4670.34,4674.34,4670.18,4673.53,1633,4,0,1633
2026-04-24 06:20:00,4673.53,4677.22,4673.4,4674.67,1714,4,0,1714
2026-04-24 06:25:00,4674.67,4678.02,4673.29,4674.43,1739,4,0,1739
2026-04-24 06:30:00,4674.43,4677.08,4672.76,4676.51,1628,4,0,1628
2026-04-24 06:35:00,4676.51,4677.62,4674.33,4676.84,1243,4,0,1243
2026-04-24 06:40:00,4676.84,4678.09,4674.99,4675.22,923,4,0,923
2026-04-24 06:45:00,4675.22,4676.97,4674.0,4675.3,1059,4,0,1059
